2L	0	999999	3
2L	1000000	1999999	2
2L	2000000	2999999	0
2L	3000000	3999999	0
2L	4000000	4999999	0
2L	5000000	5999999	1
2L	6000000	6999999	3
2L	7000000	7999999	1
2L	8000000	8999999	1
2L	9000000	9999999	0
2L	10000000	10999999	4
2L	11000000	11999999	0
2L	12000000	12999999	1
2L	13000000	13999999	0
2L	14000000	14999999	0
2L	15000000	15999999	4
2L	16000000	16999999	0
2L	17000000	17999999	1
2L	18000000	18999999	0
2L	19000000	19999999	2
2L	20000000	20999999	0
2L	21000000	21999999	4
2L	22000000	22999999	4
2L	23000000	23999999	4
2R	0	999999	2
2R	1000000	1999999	3
2R	2000000	2999999	5
2R	3000000	3999999	1
2R	4000000	4999999	2
2R	5000000	5999999	0
2R	6000000	6999999	2
2R	7000000	7999999	0
2R	8000000	8999999	0
2R	9000000	9999999	3
2R	10000000	10999999	1
2R	11000000	11999999	0
2R	12000000	12999999	0
2R	13000000	13999999	0
2R	14000000	14999999	0
2R	15000000	15999999	1
2R	16000000	16999999	1
2R	17000000	17999999	0
2R	18000000	18999999	0
2R	19000000	19999999	4
2R	20000000	20999999	1
2R	21000000	21999999	0
2R	22000000	22999999	0
2R	23000000	23999999	0
2R	24000000	24999999	0
2R	25000000	25999999	0
3L	0	999999	1
3L	1000000	1999999	0
3L	2000000	2999999	1
3L	3000000	3999999	1
3L	4000000	4999999	2
3L	5000000	5999999	0
3L	6000000	6999999	2
3L	7000000	7999999	0
3L	8000000	8999999	0
3L	9000000	9999999	4
3L	10000000	10999999	3
3L	11000000	11999999	4
3L	12000000	12999999	0
3L	13000000	13999999	2
3L	14000000	14999999	0
3L	15000000	15999999	1
3L	16000000	16999999	0
3L	17000000	17999999	0
3L	18000000	18999999	0
3L	19000000	19999999	1
3L	20000000	20999999	0
3L	21000000	21999999	0
3L	22000000	22999999	1
3L	23000000	23999999	2
3L	24000000	24999999	2
3L	25000000	25999999	2
3L	26000000	26999999	3
3L	27000000	27999999	4
3L	28000000	28999999	1
3R	0	999999	2
3R	1000000	1999999	3
3R	2000000	2999999	1
3R	3000000	3999999	2
3R	4000000	4999999	2
3R	5000000	5999999	0
3R	6000000	6999999	0
3R	7000000	7999999	0
3R	8000000	8999999	4
3R	9000000	9999999	0
3R	10000000	10999999	0
3R	11000000	11999999	0
3R	12000000	12999999	2
3R	13000000	13999999	0
3R	14000000	14999999	0
3R	15000000	15999999	0
3R	16000000	16999999	1
3R	17000000	17999999	0
3R	18000000	18999999	0
3R	19000000	19999999	0
3R	20000000	20999999	1
3R	21000000	21999999	1
3R	22000000	22999999	2
3R	23000000	23999999	1
3R	24000000	24999999	0
3R	25000000	25999999	0
3R	26000000	26999999	0
3R	27000000	27999999	2
3R	28000000	28999999	2
3R	29000000	29999999	0
3R	30000000	30999999	1
3R	31000000	31999999	0
3R	32000000	32999999	0
4	0	999999	8
4	1000000	1999999	2
X	0	999999	0
X	1000000	1999999	0
X	2000000	2999999	2
X	3000000	3999999	13
X	4000000	4999999	2
X	5000000	5999999	0
X	6000000	6999999	1
X	7000000	7999999	0
X	8000000	8999999	1
X	9000000	9999999	2
X	10000000	10999999	0
X	11000000	11999999	2
X	12000000	12999999	0
X	13000000	13999999	0
X	14000000	14999999	1
X	15000000	15999999	1
X	16000000	16999999	2
X	17000000	17999999	1
X	18000000	18999999	0
X	19000000	19999999	1
X	20000000	20999999	0
X	21000000	21999999	1
X	22000000	22999999	6
X	23000000	23999999	7
Y	0	999999	8
Y	1000000	1999999	4
Y	2000000	2999999	2
Y	3000000	3999999	4
