2L	0	999999	838
2L	1000000	1999999	1038
2L	2000000	2999999	942
2L	3000000	3999999	844
2L	4000000	4999999	772
2L	5000000	5999999	570
2L	6000000	6999999	778
2L	7000000	7999999	834
2L	8000000	8999999	436
2L	9000000	9999999	628
2L	10000000	10999999	626
2L	11000000	11999999	846
2L	12000000	12999999	1038
2L	13000000	13999999	444
2L	14000000	14999999	630
2L	15000000	15999999	610
2L	16000000	16999999	560
2L	17000000	17999999	582
2L	18000000	18999999	550
2L	19000000	19999999	1062
2L	20000000	20999999	1164
2L	21000000	21999999	212
2L	22000000	22999999	88
2L	23000000	23999999	210
2R	0	999999	54
2R	1000000	1999999	290
2R	2000000	2999999	66
2R	3000000	3999999	48
2R	4000000	4999999	136
2R	5000000	5999999	332
2R	6000000	6999999	514
2R	7000000	7999999	584
2R	8000000	8999999	1088
2R	9000000	9999999	988
2R	10000000	10999999	622
2R	11000000	11999999	814
2R	12000000	12999999	1050
2R	13000000	13999999	1138
2R	14000000	14999999	842
2R	15000000	15999999	834
2R	16000000	16999999	698
2R	17000000	17999999	492
2R	18000000	18999999	828
2R	19000000	19999999	560
2R	20000000	20999999	980
2R	21000000	21999999	748
2R	22000000	22999999	1038
2R	23000000	23999999	1216
2R	24000000	24999999	1410
2R	25000000	25999999	74
3L	0	999999	894
3L	1000000	1999999	1130
3L	2000000	2999999	906
3L	3000000	3999999	764
3L	4000000	4999999	734
3L	5000000	5999999	846
3L	6000000	6999999	656
3L	7000000	7999999	1000
3L	8000000	8999999	498
3L	9000000	9999999	614
3L	10000000	10999999	1140
3L	11000000	11999999	1004
3L	12000000	12999999	960
3L	13000000	13999999	832
3L	14000000	14999999	558
3L	15000000	15999999	980
3L	16000000	16999999	894
3L	17000000	17999999	1306
3L	18000000	18999999	588
3L	19000000	19999999	1034
3L	20000000	20999999	534
3L	21000000	21999999	634
3L	22000000	22999999	1110
3L	23000000	23999999	16
3L	24000000	24999999	68
3L	25000000	25999999	150
3L	26000000	26999999	50
3L	27000000	27999999	222
3L	28000000	28999999	0
3R	0	999999	82
3R	1000000	1999999	210
3R	2000000	2999999	90
3R	3000000	3999999	146
3R	4000000	4999999	404
3R	5000000	5999999	996
3R	6000000	6999999	636
3R	7000000	7999999	560
3R	8000000	8999999	800
3R	9000000	9999999	772
3R	10000000	10999999	656
3R	11000000	11999999	910
3R	12000000	12999999	622
3R	13000000	13999999	798
3R	14000000	14999999	552
3R	15000000	15999999	524
3R	16000000	16999999	1070
3R	17000000	17999999	796
3R	18000000	18999999	1040
3R	19000000	19999999	720
3R	20000000	20999999	576
3R	21000000	21999999	980
3R	22000000	22999999	762
3R	23000000	23999999	604
3R	24000000	24999999	736
3R	25000000	25999999	364
3R	26000000	26999999	804
3R	27000000	27999999	906
3R	28000000	28999999	976
3R	29000000	29999999	920
3R	30000000	30999999	738
3R	31000000	31999999	752
3R	32000000	32999999	12
4	0	999999	102
4	1000000	1999999	24
X	0	999999	344
X	1000000	1999999	1204
X	2000000	2999999	440
X	3000000	3999999	452
X	4000000	4999999	690
X	5000000	5999999	644
X	6000000	6999999	634
X	7000000	7999999	808
X	8000000	8999999	750
X	9000000	9999999	800
X	10000000	10999999	406
X	11000000	11999999	468
X	12000000	12999999	772
X	13000000	13999999	610
X	14000000	14999999	556
X	15000000	15999999	376
X	16000000	16999999	482
X	17000000	17999999	686
X	18000000	18999999	932
X	19000000	19999999	718
X	20000000	20999999	850
X	21000000	21999999	510
X	22000000	22999999	258
X	23000000	23999999	224
Y	0	999999	48
Y	1000000	1999999	22
Y	2000000	2999999	72
Y	3000000	3999999	0
